1-PAGE LIMITED,1PG
1300 SMILES LIMITED,ONT
1ST AVAILABLE LTD,1ST
360 CAPITAL GROUP,TGP
360 CAPITAL INDUSTRIAL FUND,TIX
360 CAPITAL OFFICE FUND,TOF
360 CAPITAL TOTAL RETURN FUND,TOT
3D OIL LIMITED,TDO
3D RESOURCES LIMITED,DDD
3P LEARNING LIMITED..,3PL
4DS MEMORY LIMITED,4DS
88 ENERGY LIMITED,88E
8COMMON LIMITED,8CO
8I HOLDINGS LTD,8IH
8IP EMERGING COMPANIES LIMITED,8EC
99 WUXIAN LIMITED,NNW
A-CAP RESOURCES LIMITED,ACB
A1 CONSOLIDATED GOLD LIMITED,AYC
A1 INVESTMENTS & RESOURCES LTD,AYI
ABACUS PROPERTY GROUP,ABP
ABERDEEN LEADERS LIMITED,ALR
ABILENE OIL AND GAS LIMITED,ABL
ABM RESOURCES NL,ABU
ABSOLUTE EQUITY PERFORMANCE FUND LIMITED,AEG
ABUNDANT PRODUCE LIMITED,ABT
ACACIA COAL LIMITED,AJC
ACADEMIES AUSTRALASIA GROUP LIMITED,AKG
ACCENT RESOURCES NL,ACS
ACONEX LIMITED,ACX
ACORN CAPITAL INVESTMENT FUND LIMITED,ACQ
ACRUX LIMITED,ACR
ACTINOGEN MEDICAL LIMITED,ACW
ACTIVEX LIMITED,AIV
ACTIVISTIC LIMITED,ACU
ADACEL TECHNOLOGIES LIMITED,ADA
ADAIRS LIMITED,ADH
ADAVALE RESOURCES LIMITED,ADD
ADCORP AUSTRALIA LIMITED,AAU
ADELAIDE BRIGHTON LIMITED,ABC
ADELAIDE RESOURCES LIMITED,ADN
ADG GLOBAL SUPPLY LIMITED.,ADQ
ADHERIUM LIMITED,ADR
ADITYA BIRLA MINERALS LIMITED,ABY
ADMEDUS LTD,AHZ
ADMIRALTY RESOURCES NL.,ADY
ADSLOT LTD,ADJ
ADVANCED BRAKING TECHNOLOGY LTD,ABV
ADVANCED SHARE REGISTRY LIMITED,ASW
ADX ENERGY LTD,ADX
AEERIS LTD,AER
AEON METALS LIMITED.,AML
AERIS ENVIRONMENTAL LTD,AEI
AERIS RESOURCES LIMITED,AIS
AFRICAN ENERGY RESOURCES LIMITED,AFR
AFT CORPORATION LIMITED,AFT
AFT PHARMACEUTICALS LIMITED,AFP
AFTERPAY HOLDINGS LIMITED,AFY
AGENIX LIMITED,AGX
AGL ENERGY LIMITED.,AGL
AGRICULTURAL LAND TRUST,AGJ
AGRIMIN LIMITED,AMN
AGUIA RESOURCES LIMITED,AGR
AHALIFE HOLDINGS LIMITED,AHL
AIMS PROPERTY SECURITIES FUND,APW
AINSWORTH GAME TECHNOLOGY LIMITED,AGI
AIR NEW ZEALAND LIMITED,AIZ
AIRXPANDERS, INC.
AJ LUCAS GROUP LIMITED,AJL
ALACER GOLD CORP.,AQG
ALARA RESOURCES LIMITED,AUQ
ALCHEMIA LIMITED,ACL
ALCHEMY RESOURCES LIMITED,ALY
ALCIDION GROUP LIMITED,ALC
ALCOA INC.,AAI
ALE PROPERTY GROUP,LEP
ALEXIUM INTERNATIONAL GROUP LIMITED,AJX
ALGAE.TEC LIMITED,AEB
ALICANTO MINERALS LIMITED,AQI
ALICE QUEEN LIMITED,AQX
ALKANE RESOURCES LIMITED,ALK
ALLEGIANCE COAL LIMITED,AHQ
ALLEGRA ORTHOPAEDICS LIMITED,AMT
ALLIANCE AVIATION SERVICES LIMITED,AQZ
ALLIANCE RESOURCES LIMITED,AGS
ALLIGATOR ENERGY LIMITED,AGE
ALLOY RESOURCES LIMITED,AYR
ALS LIMITED,ALQ
ALT RESOURCES LIMITED,ARS
ALTECH CHEMICALS LTD,ATC
ALTERNATIVE INVESTMENT TRUST,AIQ
ALTERRA LIMITED,1AG
ALTIUM LIMITED,ALU
ALTONA MINING LIMITED,AOH
ALTURA MINING LIMITED,AJM
ALUMINA LIMITED,AWC
AMA GROUP LIMITED,AMA
AMAYSIM AUSTRALIA LIMITED,AYS
AMBERTECH LIMITED,AMO
AMBITION GROUP LIMITED,AMB
AMCIL LIMITED,AMH
AMCOR LIMITED,AMC
AMERICAN PATRIOT OIL & GAS LIMITED,AOW
AMEX RESOURCES LIMITED,AXZ
AMP CAPITAL CHINA GROWTH FUND,AGF
AMP LIMITED,AMP
ANAECO LIMITED,ANQ
ANALYTICA LIMITED,ALT
ANATARA LIFESCIENCES LTD,ANR
ANCHOR RESOURCES LIMITED,AHR
ANEKA TAMBANG (PERSERO) TBK (PT),ATM
ANGLO AMERICAN CAPITAL PLC,AQM
ANGLO AUSTRALIAN RESOURCES NL,AAR
ANGLOGOLD ASHANTI LIMITED,AGG
ANIMOCA BRANDS CORPORATION LIMITED,AB1
ANOVA METALS LIMITED,AWV
ANSELL LIMITED,ANN
ANSON RESOURCES LIMITED,ASN
ANTARES ENERGY LIMITED,AZZ
ANTARES MINING LIMITED,AWW
ANTARIA LIMITED,ANO
ANTEO DIAGNOSTICS LIMITED,ADO
ANTILLES OIL AND GAS NL,AVD
ANTIPA MINERALS LIMITED,AZY
ANTISENSE THERAPEUTICS LIMITED,ANP
AP EAGERS LIMITED,APE
APA GROUP,APA
APAC COAL LIMITED,AAL
APHRODITE GOLD LIMITED,AQQ
APIAM ANIMAL HEALTH LIMITED,AHX
APN NEWS & MEDIA LIMITED,APN
APN OUTDOOR GROUP LIMITED,APO
APN PROPERTY GROUP LIMITED,APD
APOLLO CONSOLIDATED LIMITED,AOP
APOLLO MINERALS LIMITED,AON
APOLLO SERIES 2007-1E TRUST,AOY
APOLLO SERIES 2010-1 TRUST,AOJ
APOLLO SERIES 2013-1 TRUST,AOR
APOLLO SERIES 2015-1 TRUST,AOL
APPEN LIMITED,APX
APPLABS TECHNOLOGIES LTD,ALA
APPLYDIRECT LIMITED,AD1
APT PIPELINES LIMITED.,AQH
AQUAINT CAPITAL HOLDINGS LIMITED,AQU
AQUIS ENTERTAINMENT LIMITED,AQS
ARAFURA RESOURCES LIMITED,ARU
ARB CORPORATION LIMITED.,ARB
ARC EXPLORATION LIMITED,ARX
ARCHER EXPLORATION LIMITED,AXE
ARDENT LEISURE GROUP,AAD
ARDIDEN LTD,ADV
ARENA REIT.,ARF
ARGENT MINERALS LIMITED,ARD
ARGO EXPLORATION LIMITED,AXT
ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,ALI
ARGO INVESTMENTS LIMITED,ARG
ARGONAUT RESOURCES NL,ARE
ARGOSY MINERALS LIMITED,AGY
ARIADNE AUSTRALIA LIMITED,ARA
ARISTOCRAT LEISURE LIMITED,ALL
ARK MINES LIMITED,AHK
ARMIDALE INVESTMENT CORPORATION LIMITED,AIK
ARMOUR ENERGY LIMITED,AJQ
AROWANA AUSTRALASIAN VALUE OPPORTUNITIES FUND LIMITED,AWQ
AROWANA INTERNATIONAL LIMITED,AWN
ARRIUM LIMITED,ARI
ARROWHEAD RESOURCES LIMITED,AR1
ARTEMIS RESOURCES LIMITED,ARV
ARUMA RESOURCES LIMITED,AAJ
ARUNTA RESOURCES LIMITED,AJR
ASALEO CARE LIMITED,AHY
